b aɪ z	b aɪ z d	V;PST;1;SG	5.304348
b aɪ z	b oʊ z	V;PST;1;SG	4.565217
b l eɪ f	b l eɪ f t	V;PST;1;SG	6.318182
b l eɪ f	b l ɛ f t	V;PST;1;SG	4.090909
b l ɪ g	b l ɪ g d	V;PST;1;SG	5.666667
b l ɪ g	b l ʌ g	V;PST;1;SG	4.166667
b ɹ ɛ dʒ	b ɹ ɛ dʒ d	V;PST;1;SG	6.333333
b ɹ ɛ dʒ	b ɹ oʊ dʒ	V;PST;1;SG	3.428571
tʃ eɪ k	tʃ eɪ k t	V;PST;1;SG	5.73913
tʃ eɪ k	tʃ ʊ k	V;PST;1;SG	5.043478
tʃ u l	tʃ u l d	V;PST;1;SG	6.125
tʃ u l	tʃ oʊ l	V;PST;1;SG	3.708333
d eɪ p	d eɪ p t	V;PST;1;SG	6.25
d eɪ p	d æ p t	V;PST;1;SG	4
d aɪ z	d aɪ z d	V;PST;1;SG	5.416667
d aɪ z	d oʊ z	V;PST;1;SG	5.041667
d ɹ aɪ s	d ɹ aɪ s t	V;PST;1;SG	6.26087
d ɹ aɪ s	d ɹ oʊ s	V;PST;1;SG	4.478261
d ɹ ɪ t	d ɹ ɪ t ə d	V;PST;1;SG	4.956522
d ɹ ɪ t	d ɹ ɪ t	V;PST;1;SG	5.130435
d ɹ ɪ t	d ɹ æ t	V;PST;1;SG	3.65
f l i p	f l i p t	V;PST;1;SG	5
f l i p	f l ɛ p t	V;PST;1;SG	6.086957
f l ɪ dʒ	f l ɪ dʒ d	V;PST;1;SG	6.208333
f l ɪ dʒ	f l ʌ dʒ	V;PST;1;SG	4.875
f ɹ oʊ	f ɹ oʊ d	V;PST;1;SG	5.833333
f ɹ oʊ	f ɹ u	V;PST;1;SG	4.333333
g ɛ ɹ	g ɛ ɹ d	V;PST;1;SG	6.565217
g ɛ ɹ	g ɔ ɹ	V;PST;1;SG	3.391304
g ɛ z	g ɛ z d	V;PST;1;SG	6.608696
g ɛ z	g a z	V;PST;1;SG	2.521739
g l i d	g l i d ə d	V;PST;1;SG	4.217391
g l i d	g l ɛ d	V;PST;1;SG	6
g l i d	g l i d	V;PST;1;SG	4.09
g l ɪ p	g l ɪ p t	V;PST;1;SG	5.954545
g l ɪ p	g l ʌ p	V;PST;1;SG	3.454545
g l ɪ t	g l ɪ t ə d	V;PST;1;SG	5
g l ɪ t	g l ɪ t	V;PST;1;SG	5.208333
g l ɪ t	g l æ t	V;PST;1;SG	3.75
g u d	g u d ə d	V;PST;1;SG	4.9
g u d	g u d	V;PST;1;SG	5.55
n eɪ s	n eɪ s t	V;PST;1;SG	6.565217
n eɪ s	n oʊ s	V;PST;1;SG	2.913043
n oʊ l d	n oʊ l d ə d	V;PST;1;SG	4.636364
n oʊ l d	n oʊ l d	V;PST;1;SG	6.045455
n oʊ l d	n ɛ l d	V;PST;1;SG	5.14
n ʌ ŋ	n ʌ ŋ d	V;PST;1;SG	5.368421
n ʌ ŋ	n æ ŋ	V;PST;1;SG	4.315789
p æ ŋ k	p æ ŋ k t	V;PST;1;SG	6.304348
p æ ŋ k	p ʌ ŋ k	V;PST;1;SG	4
p l ɪ m	p l ɪ m d	V;PST;1;SG	6.130435
p l ɪ m	p l ʌ m	V;PST;1;SG	4.173913
p l ɪ m	p l æ m	V;PST;1;SG	3.57
p ɹ i k	p ɹ i k t	V;PST;1;SG	5.833333
p ɹ i k	p ɹ oʊ k	V;PST;1;SG	3.916667
p ɹ i k	p ɹ ɛ k	V;PST;1;SG	3.54
k w i d	k w i d ə d	V;PST;1;SG	4.652174
k w i d	k w ɛ d	V;PST;1;SG	5.347826
ɹ æ s k	ɹ æ s k t	V;PST;1;SG	6.416667
ɹ æ s k	ɹ ʌ s k	V;PST;1;SG	4.083333
ɹ aɪ f	ɹ aɪ f t	V;PST;1;SG	5.952381
ɹ aɪ f	ɹ oʊ f	V;PST;1;SG	4.142857
ɹ aɪ f	ɹ ɪ f	V;PST;1;SG	3.24
ʃ ɪ l k	ʃ ɪ l k t	V;PST;1;SG	5.791667
ʃ ɪ l k	ʃ æ l k	V;PST;1;SG	3.666667
s k ɹ aɪ d	s k ɹ aɪ d ə d	V;PST;1;SG	4.173913
s k ɹ aɪ d	s k ɹ oʊ d	V;PST;1;SG	4.391304
s k ɹ aɪ d	s k ɹ ɪ d	V;PST;1;SG	3.57
s p æ k	s p æ k t	V;PST;1;SG	6.217391
s p æ k	s p ʌ k	V;PST;1;SG	3.956522
s p l ɪ ŋ	s p l ɪ ŋ d	V;PST;1;SG	4.363636
s p l ɪ ŋ	s p l ʌ ŋ	V;PST;1;SG	5.454545
s p l ɪ ŋ	s p l æ ŋ	V;PST;1;SG	4.5
s t ɪ n	s t ɪ n d	V;PST;1;SG	5.304348
s t ɪ n	s t ʌ n	V;PST;1;SG	4.782609
s t ɪ n	s t æ n	V;PST;1;SG	2.74
s t ɪ p	s t ɪ p t	V;PST;1;SG	5.916667
s t ɪ p	s t ʌ p	V;PST;1;SG	4.5
s t aɪ ɹ	s t aɪ ɹ d	V;PST;1;SG	6
s t aɪ ɹ	s t oʊ ɹ	V;PST;1;SG	3.217391
t a ɹ k	t a ɹ k t	V;PST;1;SG	6.333333
t a ɹ k	t ɔ ɹ k	V;PST;1;SG	3.708333
t i p	t i p t	V;PST;1;SG	5.913043
t i p	t ɛ p t	V;PST;1;SG	4.695652
t ɛ ʃ	t ɛ ʃ t	V;PST;1;SG	6.217391
t ɛ ʃ	t a ʃ	V;PST;1;SG	3.130435
t ɹ ɪ s k	t ɹ ɪ s k t	V;PST;1;SG	6.285714
t ɹ ɪ s k	t ɹ æ s k	V;PST;1;SG	3.761905
t ɹ ɪ s k	t ɹ ʌ s k	V;PST;1;SG	3.62
t ʌ ŋ k	t ʌ ŋ k t	V;PST;1;SG	5.666667
t ʌ ŋ k	t æ ŋ k	V;PST;1;SG	3.916667
w ɪ s	w ɪ s t	V;PST;1;SG	6.565217
w ɪ s	w ʌ s	V;PST;1;SG	3.347826
g ɹ ɛ l	g ɹ ɛ l d	V;PST;1;SG	5.86
g ɹ ɛ l	g ɹ ɛ l t	V;PST;1;SG	4.9
m ɚ n	m ɚ n d	V;PST;1;SG	6.57
m ɚ n	m ɚ n t	V;PST;1;SG	4.74
s k ɔɪ l	s k ɔɪ l d	V;PST;1;SG	6.45
s k ɔɪ l	s k ɔɪ l t	V;PST;1;SG	5.15
ʃ ɚ n	ʃ ɚ n d	V;PST;1;SG	6.57
ʃ ɚ n	ʃ ɚ n t	V;PST;1;SG	4.22
s k ɛ l	s k ɛ l d	V;PST;1;SG	6.05
s k ɛ l	s k ɛ l t	V;PST;1;SG	5.32
s n ɛ l	s n ɛ l d	V;PST;1;SG	6.17
s n ɛ l	s n ɛ l t	V;PST;1;SG	5.3
s n ɛ l	s n oʊ l d	V;PST;1;SG	2.83
s k w ɪ l	s k w ɪ l d	V;PST;1;SG	5.92
s k w ɪ l	s k w ɪ l t	V;PST;1;SG	5.21
k aɪ v	k aɪ v d	V;PST;1;SG	6
k aɪ v	k eɪ v	V;PST;1;SG	4.41
l ʌ m	l ʌ m d	V;PST;1;SG	6.35
l ʌ m	l eɪ m	V;PST;1;SG	2.87
p ʌ m	p ʌ m d	V;PST;1;SG	6.17
p ʌ m	p eɪ m	V;PST;1;SG	2.71
ʃ i	ʃ i d	V;PST;1;SG	6.17
ʃ i	ʃ ɔ	V;PST;1;SG	3.25
z eɪ	z eɪ d	V;PST;1;SG	6.39
z eɪ	z ɛ d	V;PST;1;SG	4.39
tʃ aɪ n d	tʃ aɪ n d ə d	V;PST;1;SG	3.89
tʃ aɪ n d	tʃ aʊ n d	V;PST;1;SG	4.05
f l ɛ t	f l ɛ t ə d	V;PST;1;SG	4.5
f l ɛ t	f l ɛ t	V;PST;1;SG	5.65
g ɹ aɪ n t	g ɹ aɪ n t ə d	V;PST;1;SG	5.26
g ɹ aɪ n t	g ɹ oʊ n t	V;PST;1;SG	4.17
g ɹ aɪ n t	g ɹ aʊ n t	V;PST;1;SG	3.83
ɹ aɪ n t	ɹ aɪ n t ə d	V;PST;1;SG	5
ɹ aɪ n t	ɹ oʊ n t	V;PST;1;SG	4.29
ɹ aɪ n t	ɹ aʊ n t	V;PST;1;SG	3.71
ʃ aɪ n t	ʃ aɪ n t ə d	V;PST;1;SG	5.17
ʃ aɪ n t	ʃ oʊ n t	V;PST;1;SG	3.83
ʃ aɪ n t	ʃ aʊ n t	V;PST;1;SG	3.39