wordform1	wordform2	stem	output
h eː r ə n	ɡ ə h oː r ə n	⋊ h eː r ə n ⋉	⋊ h oː r ə n ⋉
h ɛ l ə n	ɡ ə h ɛ l t	⋊ h ɛ l ə n ⋉	⋊ h ɛ l t ⋉
h ɛ l ə n	ɡ ə h ɔ l ə n	⋊ h ɛ l ə n ⋉	⋊ h ɔ l ə n ⋉
h iːə n	ɡ ə h oː n	⋊ h iː ə n ⋉	⋊ h oː n ⋉
h iːə n	ɡ ə h iː t	⋊ h iː ə n ⋉	⋊ h iː t ⋉
h iː t ə n	ɡ ə h iː t ə t	⋊ h iː t ə n ⋉	⋊ h iː t ə t ⋉
h iː t ə n	ɡ ə h oː t ə n	⋊ h iː t ə n ⋉	⋊ h oː t ə n ⋉
h ɔ l ə n	ɡ ə h ɔ l t	⋊ h ɔ l ə n ⋉	⋊ h ɔ l t ⋉
h ɔ l ə n	ɡ ə h ɔ l ə n	⋊ h ɔ l ə n ⋉	⋊ h ɔ l ə n ⋉
j ai̯ d ə n	ɡ ə j ai̯ d ə t	⋊ j a i d ə n ⋉	⋊ j a i d ə t ⋉
j ai̯ d ə n	ɡ ə j iː d ə n	⋊ j a i d ə n ⋉	⋊ j iː d ə n ⋉
j ai̯ ə n	ɡ ə j ai̯ t	⋊ j a i ə n ⋉	⋊ j a i t ⋉
j ai̯ ə n	ɡ ə j ai̯ n	⋊ j a i ə n ⋉	⋊ j a i n ⋉
j ai̯ f ə n	ɡ ə j ai̯ f t	⋊ j a i f ə n ⋉	⋊ j a i f t ⋉
j ai̯ f ə n	ɡ ə j iː f ə n	⋊ j a i f ə n ⋉	⋊ j iː f ə n ⋉
j au̯ ə n	ɡ ə j au̯ t	⋊ j a u ə n ⋉	⋊ j a u t ⋉
j au̯ ə n	ɡ ə j au̯ n	⋊ j a u ə n ⋉	⋊ j a u n ⋉
j au̯ f ə n	ɡ ə j au̯ f t	⋊ j a u f ə n ⋉	⋊ j a u f t ⋉
j au̯ f ə n	ɡ ə j ɔ f ə n	⋊ j a u f ə n ⋉	⋊ j ɔ f ə n ⋉
j eːə n	ɡ ə j eː t	⋊ j eː ə n ⋉	⋊ j eː t ⋉
j eːə n	ɡ ə j eː n	⋊ j eː ə n ⋉	⋊ j eː n ⋉
j iːə n	ɡ ə j iː t	⋊ j iː ə n ⋉	⋊ j iː t ⋉
j iːə n	ɡ ə j oː n	⋊ j iː ə n ⋉	⋊ j oː n ⋉
j ɪ ŋ ə n	ɡ ə j ʊ ŋ ə n	⋊ j ɪ ŋ ə n ⋉	⋊ j ʊ ŋ ə n ⋉
j ɪ ŋ ə n	ɡ ə j ɪ ŋ t	⋊ j ɪ ŋ ə n ⋉	⋊ j ɪ ŋ t ⋉
k ai̯ ə n	ɡ ə k ai̯ t	⋊ k a i ə n ⋉	⋊ k a i t ⋉
k ai̯ ə n	ɡ ə k ai̯ n	⋊ k a i ə n ⋉	⋊ k a i n ⋉
k a l ə n	ɡ ə k a l t	⋊ k a l ə n ⋉	⋊ k a l t ⋉
k a l ə n	ɡ ə k au̯ l t	⋊ k a l ə n ⋉	⋊ k a u l t ⋉
k ɛ n d ə n	ɡ ə k a n d ə t	⋊ k ɛ n d ə n ⋉	⋊ k a n d ə t ⋉
k ɛ n d ə n	ɡ ə k ɛ n d ə t	⋊ k ɛ n d ə n ⋉	⋊ k ɛ n d ə t ⋉
k ɪ ŋ ə n	ɡ ə k ʊ ŋ ə n	⋊ k ɪ ŋ ə n ⋉	⋊ k ʊ ŋ ə n ⋉
k ɪ ŋ ə n	ɡ ə k ɪ ŋ t	⋊ k ɪ ŋ ə n ⋉	⋊ k ɪ ŋ t ⋉
k r ɪ ŋ ə n	ɡ ə k r ʊ ŋ ə n	⋊ k r ɪ ŋ ə n ⋉	⋊ k r ʊ ŋ ə n ⋉
k r ɪ ŋ ə n	ɡ ə k r ɔ ŋ ə n	⋊ k r ɪ ŋ ə n ⋉	⋊ k r ɔ ŋ ə n ⋉
l ai̯ f ə n	ɡ ə l iː f ə n	⋊ l a i f ə n ⋉	⋊ l iː f ə n ⋉
l ai̯ f ə n	ɡ ə l ai̯ f t	⋊ l a i f ə n ⋉	⋊ l a i f t ⋉
l au̯ ə n	ɡ ə l au̯ t	⋊ l a u ə n ⋉	⋊ l a u t ⋉
l au̯ ə n	ɡ ə l au̯ n	⋊ l a u ə n ⋉	⋊ l a u n ⋉
m au̯ ə n	ɡ ə m au̯ t	⋊ m a u ə n ⋉	⋊ m a u t ⋉
m au̯ ə n	ɡ ə m au̯ n	⋊ m a u ə n ⋉	⋊ m a u n ⋉
m iːə n	ɡ ə m iː t	⋊ m iː ə n ⋉	⋊ m iː t ⋉
m iːə n	ɡ ə m oː t	⋊ m iː ə n ⋉	⋊ m oː t ⋉
m ɔ l ə n	ɡ ə m ɔ l t	⋊ m ɔ l ə n ⋉	⋊ m ɔ l t ⋉
m ɔ l ə n	ɡ ə m ɔ l ə n	⋊ m ɔ l ə n ⋉	⋊ m ɔ l ə n ⋉
n ai̯ ə n	ɡ ə n ai̯ t	⋊ n a i ə n ⋉	⋊ n a i t ⋉
n ai̯ ə n	ɡ ə n ɪ t	⋊ n a i ə n ⋉	⋊ n ɪ t ⋉
n eː z ə n	ɡ ə n eː z ə n	⋊ n eː z ə n ⋉	⋊ n eː z ə n ⋉
n eː z ə n	ɡ ə n aː z ə n	⋊ n eː z ə n ⋉	⋊ n aː z ə n ⋉
ɔ l ə n	ɡ ə ɔ l t	⋊ ɔ l ə n ⋉	⋊ ɔ l t ⋉
ɔ l ə n	ɡ ə ɔ l ə n	⋊ ɔ l ə n ⋉	⋊ ɔ l ə n ⋉
p au̯ ə n	ɡ ə p au̯ t	⋊ p a u ə n ⋉	⋊ p a u t ⋉
p au̯ ə n	ɡ ə p au̯ n	⋊ p a u ə n ⋉	⋊ p a u n ⋉
p iːə n	ɡ ə p iː t	⋊ p iː ə n ⋉	⋊ p iː t ⋉
p iːə n	ɡ ə p oː n	⋊ p iː ə n ⋉	⋊ p oː n ⋉
r aː b ə n	ɡ ə r aː p t	⋊ r aː b ə n ⋉	⋊ r aː p t ⋉
r aː b ə n	ɡ ə r aː b ə n	⋊ r aː b ə n ⋉	⋊ r aː b ə n ⋉
r ai̯ d ə n	ɡ ə r ai̯ d ə t	⋊ r a i d ə n ⋉	⋊ r a i d ə t ⋉
r ai̯ d ə n	ɡ ə r iː d ə n	⋊ r a i d ə n ⋉	⋊ r iː d ə n ⋉
r a s ə n	ɡ ə r a s t	⋊ r a s ə n ⋉	⋊ r a s t ⋉
r a s ə n	ɡ ə r a s ə n	⋊ r a s ə n ⋉	⋊ r a s ə n ⋉
r eː b ə n	ɡ ə r eː p t	⋊ r eː b ə n ⋉	⋊ r eː p t ⋉
r eː b ə n	ɡ ə r eː b ə n	⋊ r eː b ə n ⋉	⋊ r eː b ə n ⋉
r ɛːə n	ɡ ə r ɛː t	⋊ r ɛː ə n ⋉	⋊ r ɛː t ⋉
r ɛːə n	ɡ ə r ɛː t ə n	⋊ r ɛː ə n ⋉	⋊ r ɛː t ə n ⋉
r ɛ s ə n	ɡ ə r ɛ s ə n	⋊ r ɛ s ə n ⋉	⋊ r ɛ s ə n ⋉
r ɛ s ə n	ɡ ə r ɛ s t	⋊ r ɛ s ə n ⋉	⋊ r ɛ s t ⋉
r øː ə n	ɡ ə r øː t	⋊ r øː ə n ⋉	⋊ r øː t ⋉
r øː ə n	ɡ ə r øː t ə n	⋊ r øː ə n ⋉	⋊ r øː t ə n ⋉
r uː t ə n	ɡ ə r uː t ə t	⋊ r uː t ə n ⋉	⋊ r uː t ə t ⋉
r uː t ə n	ɡ ə r uː t ə n	⋊ r uː t ə n ⋉	⋊ r uː t ə n ⋉
ʃ ai̯ ə n	ɡ ə ʃ iː n	⋊ ʃ a i ə n ⋉	⋊ ʃ iː n ⋉
ʃ ai̯ ə n	ɡ ə ʃ ai̯ n	⋊ ʃ a i ə n ⋉	⋊ ʃ a i n ⋉
ʃ ɛː r ə n	ɡ ə ʃ ɛː r t	⋊ ʃ ɛː r ə n ⋉	⋊ ʃ ɛː r t ⋉
ʃ ɛː r ə n	ɡ ə ʃ oː r ə n	⋊ ʃ ɛː r ə n ⋉	⋊ ʃ oː r ə n ⋉
ʃ ɛ l t s ə n	ɡ ə ʃ ɛ l t s t	⋊ ʃ ɛ l t s ə n ⋉	⋊ ʃ ɛ l t s t ⋉
ʃ ɛ l t s ə n	ɡ ə ʃ ɔ l t s ə n	⋊ ʃ ɛ l t s ə n ⋉	⋊ ʃ ɔ l t s ə n ⋉
ʃ ɪ s ə n	ɡ ə ʃ ʊ s ə n	⋊ ʃ ɪ s ə n ⋉	⋊ ʃ ʊ s ə n ⋉
ʃ ɪ s ə n	ɡ ə ʃ ʊ s t	⋊ ʃ ɪ s ə n ⋉	⋊ ʃ ʊ s t ⋉
ʃ p ai̯ n ə n	ɡ ə ʃ p ai̯ n t	⋊ ʃ p a i n ə n ⋉	⋊ ʃ p a i n t ⋉
ʃ p ai̯ n ə n	ɡ ə ʃ p iː n ə n	⋊ ʃ p a i n ə n ⋉	⋊ ʃ p iː n ə n ⋉
ʃ p r eː b ə n	ɡ ə ʃ p r eː p t	⋊ ʃ p r eː b ə n ⋉	⋊ ʃ p r eː p t ⋉
ʃ p r eː b ə n	ɡ ə ʃ p r oː b ə n	⋊ ʃ p r eː b ə n ⋉	⋊ ʃ p r oː b ə n ⋉
ʃ t ai̯ x ə n	ɡ ə ʃ t iː x ə n	⋊ ʃ t a i x ə n ⋉	⋊ ʃ t iː x ə n ⋉
ʃ t ai̯ x ə n	ɡ ə ʃ t ai̯ x t	⋊ ʃ t a i x ə n ⋉	⋊ ʃ t a i x t ⋉
ʃ t eː t ə n	ɡ ə ʃ t oː t ə n	⋊ ʃ t eː t ə n ⋉	⋊ ʃ t oː t ə n ⋉
ʃ t eː t ə n	ɡ ə ʃ t aː t ə n	⋊ ʃ t eː t ə n ⋉	⋊ ʃ t aː t ə n ⋉
ʃ t ɛ ŋ k ə n	ɡ ə ʃ t ɛ ŋ k t	⋊ ʃ t ɛ ŋ k ə n ⋉	⋊ ʃ t ɛ ŋ k t ⋉
ʃ t ɛ ŋ k ə n	ɡ ə ʃ t a x t	⋊ ʃ t ɛ ŋ k ə n ⋉	⋊ ʃ t a x t ⋉
ʃ t r ɪ ŋ ə n	ɡ ə ʃ t r ʊ ŋ ə n	⋊ ʃ t r ɪ ŋ ə n ⋉	⋊ ʃ t r ʊ ŋ ə n ⋉
ʃ t r ɪ ŋ ə n	ɡ ə ʃ t r a ŋ ə n	⋊ ʃ t r ɪ ŋ ə n ⋉	⋊ ʃ t r a ŋ ə n ⋉
t ai̯ d ə n	ɡ ə t ai̯ d ə t	⋊ t a i d ə n ⋉	⋊ t a i d ə t ⋉
t ai̯ d ə n	ɡ ə t iː d ə n	⋊ t a i d ə n ⋉	⋊ t iː d ə n ⋉
t ai̯ ə n	ɡ ə t ai̯ t	⋊ t a i ə n ⋉	⋊ t a i t ⋉
t ai̯ ə n	ɡ ə t iː n	⋊ t a i ə n ⋉	⋊ t iː n ⋉
t a l ə n	ɡ ə t a l t	⋊ t a l ə n ⋉	⋊ t a l t ⋉
t a l ə n	ɡ ə t a l ə n	⋊ t a l ə n ⋉	⋊ t a l ə n ⋉
t ɛ ŋ k ə n	ɡ ə t ɛ ŋ k t	⋊ t ɛ ŋ k ə n ⋉	⋊ t ɛ ŋ k t ⋉
t ɛ ŋ k ə n	ɡ ə t a x t	⋊ t ɛ ŋ k ə n ⋉	⋊ t a x t ⋉
t r ai̯ f ə n	ɡ ə t r ai̯ f t	⋊ t r a i f ə n ⋉	⋊ t r a i f t ⋉
t r ai̯ f ə n	ɡ ə t r iː f ə n	⋊ t r a i f ə n ⋉	⋊ t r iː f ə n ⋉
t r ɛ n d ə n	ɡ ə t r ɛ n d ə t	⋊ t r ɛ n d ə n ⋉	⋊ t r ɛ n d ə t ⋉
t r ɛ n d ə n	ɡ ə t r a n d ə t	⋊ t r ɛ n d ə n ⋉	⋊ t r a n d ə t ⋉
t r ɛ s t ə n	ɡ ə t r ɛ s t ə t	⋊ t r ɛ s t ə n ⋉	⋊ t r ɛ s t ə t ⋉
t r ɛ s t ə n	ɡ ə t r ɔ s t ə n	⋊ t r ɛ s t ə n ⋉	⋊ t r ɔ s t ə n ⋉
t s ai̯ d ə n	ɡ ə t s ai̯ d ə t	⋊ t s a i d ə n ⋉	⋊ t s a i d ə t ⋉
t s ai̯ d ə n	ɡ ə t s iː d ə n	⋊ t s a i d ə n ⋉	⋊ t s iː d ə n ⋉
t s au̯ ə n	ɡ ə t s au̯ t	⋊ t s a u ə n ⋉	⋊ t s a u t ⋉
t s au̯ ə n	ɡ ə t s au̯ n	⋊ t s a u ə n ⋉	⋊ t s a u n ⋉
t s au̯ f ə n	ɡ ə t s au̯ f t	⋊ t s a u f ə n ⋉	⋊ t s a u f t ⋉
t s au̯ f ə n	ɡ ə t s iː f ə n	⋊ t s a u f ə n ⋉	⋊ t s iː f ə n ⋉
t s ɪ ŋ ə n	ɡ ə t s ɪ ŋ t	⋊ t s ɪ ŋ ə n ⋉	⋊ t s ɪ ŋ t ⋉
t s ɪ ŋ ə n	ɡ ə t s ʊ ŋ ə n	⋊ t s ɪ ŋ ə n ⋉	⋊ t s ʊ ŋ ə n ⋉
t s v ai̯ ə n	ɡ ə t s v ai̯ t	⋊ t s v a i ə n ⋉	⋊ t s v a i t ⋉
t s v ai̯ ə n	ɡ ə t s v ai̯ n	⋊ t s v a i ə n ⋉	⋊ t s v a i n ⋉
t s v ɛ r ə n	ɡ ə t s v ɛ r t	⋊ t s v ɛ r ə n ⋉	⋊ t s v ɛ r t ⋉
t s v ɛ r ə n	ɡ ə t s v ɔ r ə n	⋊ t s v ɛ r ə n ⋉	⋊ t s v ɔ r ə n ⋉
ʊ m ai̯ ə n	ɡ ə ʊ m ai̯ t	⋊ ʊ m a i ə n ⋉	⋊ ʊ m a i t ⋉
v ai̯ ʃ ə n	ɡ ə v ai̯ ʃ t	⋊ v a i ʃ ə n ⋉	⋊ v a i ʃ t ⋉
v ai̯ ʃ ə n	ɡ ə v iː ʃ ə n	⋊ v a i ʃ ə n ⋉	⋊ v iː ʃ ə n ⋉
v au̯ f ə n	ɡ ə v au̯ f t	⋊ v a u f ə n ⋉	⋊ v a u f t ⋉
v au̯ f ə n	ɡ ə v ɔ f ə n	⋊ v a u f ə n ⋉	⋊ v ɔ f ə n ⋉
v ɪ ŋ ə n	ɡ ə v ʊ ŋ ə n	⋊ v ɪ ŋ ə n ⋉	⋊ v ʊ ŋ ə n ⋉
v ɪ ŋ ə n	ɡ ə v ɪ ŋ t	⋊ v ɪ ŋ ə n ⋉	⋊ v ɪ ŋ t ⋉
v ʏ l ə n	ɡ ə v ʏ l t	⋊ v ʏ l ə n ⋉	⋊ v ʏ l t ⋉
v ʏ l ə n	ɡ ə v ʏ l ə n	⋊ v ʏ l ə n ⋉	⋊ v ʏ l ə n ⋉
z ai̯ d ə n	ɡ ə z ai̯ d ə t	⋊ z a i d ə n ⋉	⋊ z a i d ə t ⋉
z ai̯ d ə n	ɡ ə z ɔ t ə n	⋊ z a i d ə n ⋉	⋊ z ɔ t ə n ⋉
z ai̯ ə n	ɡ ə z ai̯ t	⋊ z a i ə n ⋉	⋊ z a i t ⋉
z ai̯ ə n	ɡ ə z ɔ t ə n	⋊ z a i ə n ⋉	⋊ z ɔ t ə n ⋉
z au̯ ə n	ɡ ə z au̯ t	⋊ z a u ə n ⋉	⋊ z a u t ⋉
z au̯ ə n	ɡ ə z ɔ t	⋊ z a u ə n ⋉	⋊ z ɔ t ⋉
z iːə n	ɡ ə z iː t	⋊ z iː ə n ⋉	⋊ z iː t ⋉
z iːə n	ɡ ə z ɔ t	⋊ z iː ə n ⋉	⋊ z ɔ t ⋉
z ɪ s ə n	ɡ ə z ʊ s ə n	⋊ z ɪ s ə n ⋉	⋊ z ʊ s ə n ⋉
z ɪ s ə n	ɡ ə z ɔ s ə n	⋊ z ɪ s ə n ⋉	⋊ z ɔ s ə n ⋉
ʒ ɛ ŋ ə n	ɡ ə ʒ ɛ ŋ t	⋊ ʒ ɛ ŋ ə n ⋉	⋊ ʒ ɛ ŋ t ⋉
ʒ ɛ ŋ ə n	ɡ ə ʒ ɛ ŋ ə n	⋊ ʒ ɛ ŋ ə n ⋉	⋊ ʒ ɛ ŋ ə n ⋉
